,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc0,0.03,0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.5,9
Doc1,0.02,0.22,0.62,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc2,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc3,0.02,0.02,0.02,0.02,0.42,0.22,0.22,0.02,0.02,0.02,4
Doc4,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc5,0.02,0.42,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.02,1
Doc6,0.42,0.02,0.02,0.25,0.02,0.02,0.02,0.02,0.19,0.02,0
Doc7,0.02,0.26,0.02,0.02,0.02,0.02,0.02,0.02,0.58,0.02,8
Doc8,0.02,0.02,0.02,0.33,0.02,0.2,0.02,0.02,0.18,0.18,3
Doc9,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,0.03,0.03,2
Doc10,0.03,0.03,0.03,0.28,0.03,0.27,0.03,0.03,0.03,0.28,3
Doc11,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,3
Doc12,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc13,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc14,0.02,0.02,0.02,0.38,0.26,0.02,0.02,0.02,0.02,0.22,3
